formula,nobs,rsquared_adj,fvalue,f_pvalue,aic,bic,JB,JB-pval,skew,kurt,condition_number
dur ~ C(is_hol)  + scale(blizz) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(d_lat) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_rainfall) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt) + scale(hr_windspeed) + scale(hr_gustspeed) + scale(hr_precip),700419.0,0.6985253877812271,38641.20821316939,0.0,10174589.242540494,10175081.998202767,126483660.1231182,0.0,3.637527747933332,68.42982499348474,30.708677290249828
np.log(dur) ~ C(is_hol) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.5989698402058163,30769.498349980913,0.0,970657.217598182,971058.2977884054,2502614.1212768145,0.0,-1.246851168772011,11.918185484430085,27.90316234073468
dur ~ C(is_hol) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.6981336123135858,47644.33692145889,0.0,10175490.867957186,10175891.948147409,125644110.84231259,0.0,3.634438936711881,68.21030990677052,27.90316234073468
np.log(dur) ~ C(is_hol) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_dist) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.5099011495936259,21433.88771354259,0.0,1111140.5858680625,1111541.6660582859,2543783.146195598,0.0,-1.455135249736339,11.870939879452935,28.5445999019909
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_dist) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.6651246189196435,40917.47236156485,0.0,10248176.129122894,10248577.209313117,93057703.98427764,0.0,2.949973616425622,59.15898720603871,28.5445999019909
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_dist) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.7011988321371683,46963.16905907822,0.0,10168343.298551982,10168755.838176211,133334761.79876828,0.0,3.599219050560808,70.20807479290752,32.5364670043416
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.687765081286835,46753.19549726448,0.0,10199143.966343967,10199533.587100184,110583329.27783144,0.0,3.5058101037716,64.15551922209983,24.910688674957086
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.6970292405187779,48831.77759931685,0.0,10178047.660137402,10178437.280893618,124450593.57588501,0.0,3.6376931669354664,67.89525209613994,26.68889282001622
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.6928614349679083,50970.17953466608,0.0,10187615.275018025,10187981.976906229,118730770.44724332,0.0,3.6046222677359783,66.37476530260413,24.796312236835877
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.6928605208493543,52668.92594624814,0.0,10187616.359676016,10187971.602130214,118814373.76989304,0.0,3.6060634470840602,66.39703458766796,24.782646353901125
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid),700419.0,0.6925033511235392,54393.7219750429,0.0,10188429.397420695,10188773.180440886,118302724.37831514,0.0,3.6027960514237556,66.25935852075919,23.60074356926982
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp),700419.0,0.6923755023070867,56302.51000557894,0.0,10188719.552276656,10189051.87586284,118089262.05157825,0.0,3.6008133848080335,66.20197180219559,23.596005164427517
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**3)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp),700419.0,0.6929796731504608,56462.52879579841,0.0,10187342.585100364,10187674.908686548,118721095.84321648,0.0,3.6114246722777894,66.3706006677903,18.95103873404789
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(dow):scale(I(hr**3)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp),700419.0,0.6956537046108626,45742.914378265814,0.0,10181222.477678094,10181635.017302323,122799800.36534539,0.0,3.6510711170173167,67.454937308279,113.55451807964538
